index,0
7602,二舅 想起 史铁生 那句 苦难 推到 悬崖 边缘 就让 坐下 顺便 看看 悬崖 下 流岚 雾霭 唱 支歌 听 
7603,叼 哥 
7604,注意 小心 摔倒 
7605,视频 二舅 一生 证明 不 喜欢 一生 证明 观点 doge 身教 大于 言传 
7606,人 想起 平凡 世界 平凡 伟大 遭遇 困境 却 向上 劲头 
7607,敬 二舅 抱拳 抱拳 抱拳 
7608,只能 说 吊 
7609,谢谢您 
7610,树 先生 
7611,牛 逼 人生 不 需要 解释 
7612,居然 关注 up 嘟嘟 生活 强者 从来 都 好 强者 不是 世界 里 恃强凌弱 
7613,zizitaiii   Cle0patra1 
7614,下定 决心 牺牲 排除 何种 万难 去 争取 人 胜利 转 
7615,感觉 二舅 没有 惊艳 倒 觉得 讲述 一生 有种 释然 在我看来 二舅 不算 惨 大多数 人有 更好 结局 人 触动 可能 真正 感染 人 美好 结局 坚毅 活着 没有 遗憾 态度 真实 传记 日子 里 真正 发生 有趣 故事 ---- 来自 朋友 
7616,看 开头 觉得 二舅 人才 没有 继续 读书 今后 回报 祖国 实在 可惜 
 看 完 之后 觉得 二舅 基层 做 喜欢 事 百姓 服务 其实 不 可惜 中国 很多 地方 都 需要 二舅 人才 
 也许 很多 普通人 梦想 不是 知识 学到 极致 不是 只顾 自家人 平平淡淡 完 一生 好 二舅 力所能及 地方 给予 一点 帮助 也许 这才 中华民族 五千年 历史 教给 普通人 最有 意义 知识 
7617,口罩 
7618,只能 说 抗住 压 
7619,下午 将近 六百万 播放 量 tv _ 点赞 
7620,敬 二舅 祝 ? 二舅 身体健康 平安 喜乐 
7621,圣者 绝非 智者 朴者 定为 智知者 
7622,求求 拍成电影 
7623,8.7 万人 看 去 
7624,唐浩 老师 保卫 萝卜 _ 哭哭 保卫 萝卜 _ 哭哭 保卫 萝卜 _ 哭哭 厉害 猿 辅导 之后 没有 持续 关注 尊唐 
 遗憾 电影 里 主角 崛起 前戏       遗憾 生活 里 人 沉沦 毒药 
 说 真的 太牛 保卫 萝卜 _ 哭哭 热词 系列 _ 吹 爆 热词 系列 _ 吹 爆 热词 系列 _ 吹 爆 热词 系列 _ 吹 爆 热词 系列 _ 吹 爆 热词 系列 _ 吹 爆 
7625,up 主 二舅 启示 天生我才 必有用 人要 活得 真实 不要 诱惑 外 打倒 认真 走 好 一段路 每个 人 都 独特 人生 OK 
7626,问过 二舅 真想 活 
7627,指出 事实 解读 视频 两种 模式 
 1   先有 立场 -& gt   视频 内容   -& gt   输出 立场 
 2   视频 内容 -& gt   解读 内容 
 大部分 评述 不 做 评价 
7628,视频 作者 顿悟 感慨 笔触 描写 二舅 生活 估计 二舅 本人 都 会 感觉 莫名其妙 归根到底 作者 本人 极度 自恋 自私 二舅 人生 当做 积累 素材 遇到 便 感慨 了解 生命 真谛 典型 小 布尔乔亚 思潮 这种 看似 共情 很 深 表达 背后 隐藏 式 极致 冷漠 二舅 人生 漠视 类似 文章 话题 乡村 灶台 烟火 气息 怀念 这种 视频 会 引起共鸣 看 很大 程度 是因为 现在 年轻人 小时候 接受 教育 语文课 里 课外阅读 里 经常出现 类似 作品 视频 文案 照抄 完全 一篇 中学语文 阅读 理解 
 转 
7629,村子 里 编 wowo 老头 村子 里 少有 初中生 从小 看见 胸椎 段 已经 那种 折起来 样子 读 小学 时 奶奶 说 不会 题 去 找 
7630,小 布 
7631,现代版 鲁迅 
7632,学会 吃苦 专心 打工 捏 心心 
7633,币 赞多 系列 
7634,意犹未尽 
7635,不用 焦虑 不用 后悔 往前 完 事儿 敬 二舅 
7636,新 时代 武训 传 
7637,第一 快乐 人 不需 别人 负责 人 快乐 人 从不 回头 看 人 快乐 人 鲜少 
7638,十一 分钟 视频 写满 二舅 一生   却 写 不 完 一生 
7639,其实 纠结   去 想想 为啥 去 纠结 
7640,一百个 哈姆雷特   人 感觉   错   自以为是 感觉 高人一等 doge 
7641,大 时代 下 小人物 人生 才 亲身经历 历史 
7642,活着 意义 或许 活着 寻找 活着 意义 
7643,纪录片 本该 却 不 曲折 人生 躺平 靠着 再 平凡 人 活 出 不 平凡 一生 
7644,拍成电影 一定 会 经典 
7645,UP 上 电视 
7646,令人 感叹 
7647,看 完 视屏 力量 回到 心中 
7648,想起 那句 歌词   活出 个样 看 
7649,笑 笑 哭 出来 
7650,二舅 聪明 坚韧 豁达 人 遗憾 达到 巅峰 自认 换成 做 不到 敬佩 二舅 
7651,孤舟 小白   朋友圈 刷 爆 
7652,精神 内耗 指 独处 时 很 活力 很 轻松 进行 人际交往 最 简单 交流 时会 感到 很 疲惫 消耗 很多 精神力 都 没 做 感觉 很累 很 没有 精神 
7653,故事 大舅 很 
7654,生活 苦难 二舅 活 很酷 
7655,转自 网友 评论 
 警惕 一下 视频 带来 群体性 舆论 共情 本质 一种 精神 PUA 
 专业 团队 消费主义 盛行 时代 打造 迎合 小镇 做题 家 精神 消费品 全 片刻 意隐 去 年轻人 精神 内耗 成因 分析 上 时代 二舅 人生 轨迹 如今 年轻人 带来 一种 人生 共情 这种 共情 条件 不 软弱 虚无 带 小 布尔乔亚 妥协 
 很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7656,心心 
7657,想起 外公 
7658,绝对 满分 作文 
7659,工作 累 喘 气 看 视频 充满 干劲 继续 老板 挣钱 
7660,点开 视频 看 完 面 无表情 关掉 明天 搬 砖 还 搬 砖 看 完 觉得 应该 有点 思考 思考 不 出来 东西 第一个 念头 想 居然 播放 量 创作 激励 能恰 不少 钱 tv _ 睡着 
7661,冷笑   无 语 
7662,往前 看 
7663,好好 好 
7664,小蓝 今天 开心 
7665,看 完 莫名 想 哭 不 知道 止不住 
7666,依然 超越 Jay 新专辑 播放 量 趋势 增长 中 
7667,平凡 美好 强悍 心心 
7668,二舅 学啥 都 会 确实 天才 
7669,不 知道 为啥     哭 稀里哗啦 
7670,文案 内容 一般般 般的 一生 不是 每个 人 都 活出 二舅 心态 
7671,我爸 家里 最小 小学 初中 班上 第一第二 初三 爷爷 去世 奶奶 不会 挣钱 我爸 辍学 累活 都 做 苦 都 吃 现在 还 读研 只能 每周 做 家教 挣 点儿 生活费 还 不能 爸 休息 真的 好 心疼 我爸 好 心疼 二舅 好 心疼 快乐 人生 隐入 尘烟 样 人生 大哭 大哭 
7672,公平 
7673,人生 没有 遗憾 最大 遗憾 生活 遗憾 中 说 太好了 片子 绝对 打脸 所谓 大手笔 大 制作 大师 真情 无价 
7674,好像 鲁迅 祥林嫂 叙述 方式 
7675,二舅 才 
7676,隐隐 up 担忧 
7677,视频 涨 100 多万 粉丝   厉害 
7678,二舅 可惜 
7679,真的 二舅 想要 生活 热 
7680,应该 会 成为 明年 高考作文 试题 
7681,还 时间 看 心心 专挑反 看 是不是 闲 很 清醒 众人皆醉 独醒 心心 
7682,致敬 二舅 
7683,无名 人 
 我敬 杯酒 
 敬 沉默 一声 怒吼 
 敬 弯着腰 上山 高处 走 
 头顶 苍穹 努力 生活 
         
                                                                       毛 不易 无名 人 
7684,五刷 
7685,好 厉害 二舅 
7686,年代 人 确实   朴实 不 善于 表达   可敬 可爱 脸红 
7687,铺天盖地 推送 评论 循声 找到 知道 已经 成为 一种 社会 热点 真的 看过 之后 却 不敢 再刷 一遍 跋涉 千里 必须 留个 脚印 只 留个 脚印 2022 
7688,苦难 需要 承受 却是 无端 苦难 
7689,故事 文案 都 很 好 官方 引流 一下 反倒 有点 帮倒忙 
7690,一生 要强 二舅 
7691,朴实 人生 却 充满 魅力 或者说 朴实 伪装 刚强 才 内核 文案 很 精彩 感受 力量 视频 很 真实 却 增添 面对 生活 勇气 
7692,想 农村 生活 过得 都 好 地方 一生 就行 
7693,这是 作文 二舅 
7694,生活 
7695,平凡 伟大 一生 
7696,活着 
7697,去 看看 
7698,致敬 
7699,希望 余 华能 看到 视频 写 一部 二舅 式 小说 
7700,认真 生活 人 都 应该 赞美 
7701,很 感动 感动 都 普通人 还 感动 人 
7702,感觉 不 应该 弄 落魄 可怜 这句 话 不 
7703,二舅 好 一点 发烧 针 身体 缩小 很 明显 看 出来 现在 长不高 家里人 挺 高 
7704,敬 二舅 
7705,农村 很多 人 嫌弃 却 诞生 很多 英雄 
7706,唐浩 脱单 doge 
7707,电影 
7708,第一 快乐 人 不用 别人 负责 人 快乐 人 从不 回头 看 人 
7709,平凡 真实 
7710,确实 天才 天妒 英才 可能 领域 伟大 人物 遗憾 说 不 沉沦 细微处 体现 价值 人民 服务 方式 不同 
7711,敬 二舅 ~ 
7712,bhy 白 
7713,二舅 看到 民族 身上 所有 平凡 美好 强悍 挣扎 困顿 中 表现 出来 庄敬自强 令 我心 生 敬畏 
7714,平凡 人生 普遍 平淡 二舅 平凡 却 充实 人 波澜不惊 夜空 中 点点 星光 或许 没有 明月 耀眼 却 努力 点缀着 世间 
7715,硬核 OK OK OK 
7716,看到 吃苦耐劳 不 闹事 自我安慰 和解 不 维护 权益 配过 二舅 生活 
7717,在我看来 国家 造 火箭 留在 村子 里 帮助 村民 都 人民 服务 call 
7718,十八岁     看不懂     我心 生 敬意 
7719,总 感觉 唐浩 老师 不 知道 是不是 
7720,请 恕 真的 感受 不到 激励 看 完 之后 泪流满面 内心 巨大 悲 怮 情 二舅 腿伤 没 继续 接受 教育 这件 事 感触 尤为 深刻 确实 二舅 故事 每个 普通人 倒影 父亲 年少时 二舅 中学 时 爷爷 不慎 苹果园 中 落入 洞中 摔伤 腿 巨额 医药费 贫寒 家庭 无力 支付 学费 父亲 辍学 大学 成为 此生 遗憾 现在 二舅 般 全能 二舅 般 继续 前行 时常 会 去 想 当年 爷爷 没 去 苹果 园区 走 一遭 顺利 上学 不 喜欢 歌颂 苦难 这本 时代 给予 个人 不 应有 重负 或许 时代 重压 之下 每个 人 都 无法 逃避 命运 般的 苦难 至少 不应 去 赞颂 .... 唯有 叹息 
7721,绝不 歌颂 苦难 苦难 苦难 不 值得 歌颂 歌颂 面对 苦难 努力 活着 人 都 应当 拥有 这种 努力 生活 精神 
 苦难 不 值得 歌颂 值得 歌颂 面对 苦难 勇往直前 人 
7722,很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7723,小孩 小 不是 瞎 
7724,为啥 办 不 下来 二舅 不是 颐养 千禧   不能 线上 办 
7725,每个 时代 都 抛弃 习俗 都 不幸 落下 人 都 曾 熠熠 闪光 都 曾 苦涩 如歌 
7726,写 太好了 呜呜 呜呜 
7727,开头 还 不 懂 姥姥 天天 跳 poping 后面 才 意识 原来 姥姥 帕金森 患者 泪目 
7728,公平 
7729,文案 放 作文 都 出题 
7730,觉得 所说 当初 其实 一种 意义 上 嘲讽 捂眼 不用 老太太 说 父亲 现在 开心 就行 视频 中说 不 遗憾 才 最好 
7731,生命 璀璨 如歌 
7732,回村 三天 二舅 治好 精神 内耗 
7733,忍不住 看 好多遍 
7734,遗憾 美学 终极 表达   敬 二舅 
7735,牛牛 
7736,文案 入教 
7737,至今 都 觉得 妈妈 带给 最 珍贵 品质 坚韧 虎年 
7738,意难平 
7739,下定决心   不怕牺牲   排除万难   去 争取 胜利 
7740,涨 一百万 粉 祝贺 ?? 
7741,一摸   已经 工作 一年 
7742,说 站 光里 才 算 英雄 
7743,真的 很 好 不 知道 评论 只能 说好 
7744,永远 不要 相信 苦难 值得 苦难 苦难 苦难 不会 带来 成功 苦难 不 值得 追求 磨练意志 是因为 苦难 无法 躲避 开 
7745,我爸 字 写 很 好 我家 亲戚 会 说 字 不 继续 练下去 可惜 我爸 说 二十多年 没拿过 笔 早 忘 现在 钓钓鱼 挺 好 人 不 执着 年少 才能 大概 才能 活 快乐 真的 可不 可惜 不是 去 评判 言语 不 能够 打击 才 真正 通透 
7746,太强 call call 
7747,你好 8.9 万 看 人 
7748,敬 二舅 
7749,看 N 遍 
7750,入站 必刷 
7751,一天 一千万 
7752,保卫 萝卜 _ 哭哭 
7753,人生 没有 遗憾 那该 无趣 
7754,敬 二舅 
7755,想起 黑塞 一句 话 无法 达成 目标 才 目标 迂回曲折 路 才 想 走 路 一次 歇息 总是 带来 新 向往 身在 井隅 心 璀璨 二舅 坚强 无惧 人 正直 年少 却 仍 遗憾 过去 遗憾 不禁 赧颜 二舅 获得 很 快乐 很 通透 活着 中 福贵 强 活下去 感谢 up 
7756,疯 四百多万 投币 
7757,真实 苦难 人生 只不过 别人 消遣 小 故事 
 故事 一天 听厌 
 苦难 人生 继续 
7758,bhy 白 
7759,从刚 看 视频 哭 写 太好了 
7760,世界 上 第一 快乐 人 不 需要 别人 负责 人 快乐 人 从不 回头 看 人 
7761,浪 视频 境界 高太多 
7762,平凡 生活 中有 英雄 一定 二舅 样子 
7763,喝 这碗 鸡血 干翻 世界 
7764,6688 酷 要死   哭 要死 
7765,平凡 生活 很 美好 爱心 属于 精彩 人生 问心无愧 
7766,嘴里 咬 毒药 手里 握 短刀 坐在 生活 只 老虎 背上 祈祷 多一秒 安宁 
7767,就此 视频 后 余华 先生 活着 更 岁月 滋味 心心 
7768,感动 平凡 人 伟大 一生 平平安安 
7769,
7770,二舅 充满 敬畏 
7771,好多 评论 没有 ip 地址 
7772,苦难 苦难 
 苦难 不 值得 歌颂 
7773,金子 总会 发光 
7774,满满 正 能量 感谢 up 主 平凡 人生 很 伟大 
7775,很 怀念 公平 
7776,回首 向来 萧瑟处 归去 无 风雨 也无晴 
7777,医疗 条件 差 害 一辈子 命运 改变 
7778,视频 看 六遍 最 深刻 镜头 黑夜 农村 灯火通明 二舅 房间 敲 锣声 狗子 中国 农村 真实写照 想到 温铁军 大师 到处 奔走 呼吁 新 农村 建设 心里 难受 
7779,文字 朴实无华 确实 治疗 一代 空心 病 最好 良药 
7780,平凡人 不 人生 人民 生活 添 色彩 做 奉献 
7781,二舅 遭遇 感到 同情 更为 生命 全力以赴 感到 敬重 视频 中 感受 更 积极 正 能量 东西 生命 行且 珍贵 不忘 初心 方得 始终 
7782,转自 网友 评论 
 警惕 一下 视频 带来 群体性 舆论 共情 本质 一种 精神 PUA 
 专业 团队 消费主义 盛行 时代 打造 迎合 小镇 做题 家 精神 消费品 全 片刻 意隐 去 年轻人 精神 内耗 成因 分析 上 时代 二舅 人生 轨迹 如今 年轻人 带来 一种 人生 共情 这种 共情 条件 不 软弱 虚无 带 小 布尔乔亚 妥协 
 很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7783,火 很   朋友圈 微信 群 都 转   我来 顶顶   争取 评论 十万 
7784,拍摄 手法 文案 技巧 不错 精神 内核 不堪一击 
7785,很难 不三连 
7786,不必 回头 看 过去 就让 成为 遗憾 把握 现在 未来 
7787,昨天 500w 播放 量 今日 早上 9 点 1800w   现在 2300w 笑 哭 
7788,一篇 文学艺术 当代 短 视频 文学 典范 之作 
7789,敬 二舅 
7790,＂ 二舅 
7791,认为 磨难 无聊 挫折 无 尽头 
 说 … … 也许 都 战胜 
 预见 准备 承受 胜过 不幸 
7792,二舅 奇 命运 捉弄 三次 依旧 热爱生活 
7793,不多 说 
 敬 二舅 
7794,文案 建议 入选 语文课 
7795,评论 估计 评论 会 石沉大海 二舅 腿 扭曲 心里 却 一股 子 韧劲 一生 过去 没 歪过 人 身体 健全 内心 却 早已 现实 击倒 嘴上 说 识时务者为俊杰 去 掩饰 早已 扭曲 变形 内在 
7796,爱心 
7797,厉害 眼看 几万 粉飙 涨 218 万 奶茶 干杯 
7798,生活 充满 机遇 时代 珍惜 
 
7799,苦难 应该 不是 pua 
7800,热心 市民 董二狗 先生   大哭 大哭 大哭 
7801,爷爷 人生 经历 超级 丰富       可惜 没有 好 文笔 记录下来 call 
7802,一代人 一代人 生活 不朽 二舅 生活态度 价值观 时常 想 生活 意义 现在 觉得 很 荒谬 
7803,平凡 中 总能 闪耀 伟大 
7804,现在 电影 好看 太多 
7805,平凡 高贵 
7806,平凡 伟大 平凡 不 平凡 
7807,永远 不要 相信 苦难 值得 
 苦难 苦难 
 苦难 不会 带来 成功 
 苦难 不 值得 追求 
 磨练意志 是因为 苦难 无法 躲开 
7808,无法 共情 
7809,很 好 
7810,二舅 一生 见证 祖国 强盛 伟大 真的 非常感谢 国家 感谢 领导 千千万万 一线 党员 一线 工作者 愿 祖国 永远 富饶 强大 
7811,没 理解 年纪 大为 震撼 
7812,生不逢时 生逢其 时 
7813,努力 意义 
7814,谢谢 
7815,wcwcwc 保卫 萝卜 _ 笔芯 保卫 萝卜 _ 笔芯 保卫 萝卜 _ 笔芯 保卫 萝卜 _ 笔芯 
7816,与其说是 精神 丰富 不如说是 意志 坚韧 挣扎 沉沦 人世间 大 泥潭 想要 超脱 反而 落 越 快 不 做 反倒 多活 上 一会 
 人 一笑而过 人 提刀 见 血 非得 赤脚医生 大卸八块 挂 村口 晾 晾 才 解气 恐怕 一刻 都 不想 多活 二舅 态度 说不上 否认 世间 智者 愚者 更 
 不去 生活 和解 认为 当柴 火烧 锅底 烧裂 才 好 
7817,二舅 总有 办法 
7818,条 视频 意识 平凡 伟大 牺牲 光荣 人性 光辉 路途 艰难 平原 伟大 不 在于 高山 之巅 壮美 在于 牺牲 之花 盛开 敬 二舅 
7819,平凡 世界 平凡 伟大 
7820,回村 三天   二舅 治好 精神 内耗   回城 三天   平凡 再度 患上 工人 恶疾 
7821,  写 真 娘 好 旅行 画画 Gloriaaa 
7822,敬 不是 苦难 二舅 苦难 乐观 勇敢 
7823,他者 发言 一种 轻侮 
7824,农村 事 很 常见 几乎 每个 人 都 写 故事 
7825,不让 二舅 说话 
7826,看到 最后 旁白   吃 大米饭   竟然 想 掉 眼泪 … … 很 振奋人心 感觉 … 排除万难   坚持到底 
7827,公平 大哭 大哭 大哭 大哭 
7828,二舅 爷爷 大伯 外公 无数 蒸腾 人间 努力 对抗 生活 世俗 凡人 平凡 伟大 
7829,作者 生活 充满 机遇 时代 不是 充满 坑 时代   大家 一起 努力   成为 人中 龙凤 
7830,敬 二舅 
7831,心酸 感动 UP 主 至情至性 解说 二舅 一生 淋漓尽致 展现 面前 二舅 通天 智慧 人 他识 人间烟火 识 万物 妙理 视频 怎能不 火 人间 仅 一遭 走 好 
7832,入站 必刷 预定 
7833,get 不到 点 不 普通人 生活 类似 故事 千千万万 文案 煽情 强行 拔高 
7834,test 
7835,二舅 身上 一种 需要 追求 品质 刚看 没有 播放 量 感觉 普通人 伟大 佩服 二舅 哀叹 估计 一辈子 不会 这种 境界 想不到 播放 量 突然 暴增 看来 大部分 人 这点 想法 是否 成长 中 不知不觉 丢失 东西 … … 
7836,二舅 想起 人生 海海 里 上校 都 聪明绝顶 天才 都 干过 木工 都 学过 医 都 村里人 尽心 服务 器重 最 重要 都 乐观 面对 波折 人生 精神 一颗 善良 心 人生 社会 东风 时代 浪潮 中 颠簸 跌落 人生 浮 升 落 才 人生 平凡 伟大 充实 也许 惋惜 能力 淹没 历史长河 之中 也许 感叹 面对 生活 乐观 无畏 也许 回看 健全 平淡 人生 觉得 不得 不凡 滋味 活在 当下 流淌 民族 物种 星球 宇宙 最本 真的 精神 不停 生长 活 出 生活 本身 
7837,没有 建树 没 人 知道 精神力量 源源不断 才能 永不 枯竭 
7838,拥有 生活态度 真的 人 肃然起敬 
7839,外婆家 很多 二舅 年纪 瘸子 听 老一辈 说 二舅 不满 十岁 去 医院 打针 一批 都 中招 当时 都 不 知道 索赔 都 默认 人 如今 生活 都 很 艰难 厉害 一点 00 年代 开 三轮车 赚点 钱 困难 表哥 大伯 性格 变 古怪 没有 老婆 没有 孩子 失去 劳动 能力 单住 小 瓦房 里 靠着 亲人 送饭 现在 安排 敬老院 度过 热 热 
7840,牛 逼 
7841,敬 二舅 
7842,请问 这是 火 … … 不 懂 问 
7843,下定决心 排除万难 争取 胜利 
7844,所有 努力 生活 人 致敬 
7845,人生 尚未 结束 不是 故乡 
7846,不是 镇站 之宝 
7847,会 有人 说 伟大 
7848,二舅 说   公平 顺利 泪流满面 
7849,敬 二舅 
7850,二舅   快乐 人   过得 念头 通达 点赞 
7851,播放 量 夸张 
7852,二舅 身残志坚 我身 不 残 理应 更志坚 二舅 普通 一生 充满 传奇 做 社会 有用 人 气节 油然而生 需要 多多 学习 二舅 
7853,反而 希望 生活 中 没有 二舅 
7854,舅爷 OK 
7855,没有 思考 全是 煽情 
7856,罗曼罗兰 这句 话 世界 上 一种 真正 英雄主义 看清 生活 真相 之后 依然 热爱生活 很 适合 诠释 二舅 身上 精神 品质 相信 二舅 人生道路 最终 会 走向 胜利 
7857,点点滴滴 充斥 内心   触碰 心房   新 时代 周树人 讲 故事   平凡 伟大   普通 不失 优雅 
7858,感谢 正 迷茫 看到 视频   这种 机会 一辈子 没有 几个 
7859,令人 小可爱 
7860,整个 视频 拳头 带 风声 心头 上 甩 却 接触 前 一秒 停住 觉得 挨打 没 毕竟 拳头 停下 拳头 带起 风 却是 击中 心田 荡起 涟漪 不 经想 真的 打到 会 到头 发现 做 等待 … 
7861,公平 
7862,故事 逻辑   生活 没有 
7863,感觉 很 EX 
7864,很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7865,歌颂 苦难 苦恼 不 分析 一下 
7866,佝偻 身躯 埋藏 壮汉 骨 
 蹒跚 步伐 行走 出 巨人 魂 
7867,模仿 鲁迅 视频 觉得 很 才华 关注 
7868,敬 二舅 剥夺 一条 一帆风顺 光明大道 却 面带笑容 走 一条 曲折 蜿蜒 遗憾 小路 不 遗憾 成就 方向 坚定不移 大步流星 走 活出 精彩 敬 二舅 call call call 
7869,人生 如戏 戏如 人生 
 起起落落 
7870,活 充实 
7871,想 拥有 傻掉 名字 
7872,投币 上限 
7873,万物 皆 裂痕 光照 进来 地方 
 致敬 二舅 般 平凡 伟大 向阳 生活 强者 
7874,公平 笑 死 
7875,没 声音 看 一半 竟然 看 灵魂深处 一片 悸动 
7876,面对 苦难 态度 也许 应该 尊重 不是 歌颂 
7877,公平 
7878,文字 生活 共鸣 感受 不屈 意志 豁达 精神 平凡 困苦 生活 中 弹奏 和谐 平静 躬身 受教 未来 会 放下 思想包袱 打开 心灵 放手 追寻 生活 不 留恋 没有 得到 东西 不 后悔 岁月 
7879,经受 苦难 以后 不 经受 苦难   不是 有人 头上 骑着 享受 还 问 不能 吃苦 
7880,阿幸 
7881,歌颂 苦难 人 通常 都 不 吃苦 
7882,乐观 对待 生活 人 都 不会 过得 太差 
7883,句句 金句 致敬 二舅 
7884,活着 命运 抗争 
7885,世界 上 一种 英雄主义 
7886,真的 很 遗憾 
7887,人生 最大 遗憾 遗憾 过去 遗憾 
7888,up 主 所说 二舅 好 上 大学 见 世间 美好 生 充满 机遇 年代 不 懂 会 这般 不堪 心里 千言万语 却 不知 从何说起 回想 20 多年 光景 都 二舅 人生 一半 精彩 想 以后 不会 二舅 这般 精神 富足 不 知道 补充 想要 我要 选择 
7889,拍 真 好 
7890,打翻 牛奶 哭泣 脑海 里 会 闪过 obscurity 词 精神 内耗 之源 一边 往前走 向后看 活该 摔跟头 现在 常常 提醒 向前 看 加油 
 真心 觉得 视频 今天 看过 两部 电影 要好看 热词 系列 _ 你币 
7891,想起 一位 先生 冬泳 怪鸽 黄 春生 
7892,敬 二舅 
7893,慕名而来 看 完 很 感动   作者 表示感谢 
7894,致敬 活下去 人 好好 活着 终将 更加 美好 
7895,转自 网友 评论 
 警惕 一下 视频 带来 群体性 舆论 共情 本质 一种 精神 PUA 
 专业 团队 消费主义 盛行 时代 打造 迎合 小镇 做题 家 精神 消费品 全 片刻 意隐 去 年轻人 精神 内耗 成因 分析 上 时代 二舅 人生 轨迹 如今 年轻人 带来 一种 人生 共情 这种 共情 条件 不 软弱 虚无 带 小 布尔乔亚 妥协 
 很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7896,很多 人 网络 情绪 有意无意 地带 入 这种 共情 之后 陷入 精神 内耗 不够 坚强 不够 豁达 不够 努力 思维 怪圈 看不清 造成 群体性 精神 内耗 真正 原因 遇事 不看 外部环境 是否 公平 先 思考 是不是 能力 问题 是不是 不够 努力 陷入 自我 否定 自我 反思 地步 这是 这是 社会性 PUA 
 视频 最有 价值 其实 二舅 日记 里 摘抄 这句 话 排除万难 争取 胜利 这是 一种 斗争 术语 当代 小镇 做题 家们 斗争 对象 思考 清楚 一点 才能 真正 消灭 精神 内耗 
7897,人类 伟大 
7898,叙述 词写 不错 
7899,句 话 人能命 不能 
7900,牛 B 
7901,面对 生活 战斗 朋友 
7902,故事 看着 看着 突然 想到 异 世界 舅舅 感觉 两个 人 似乎 完全 不 说不出来 相像 
7903,敬 二舅 
7904,可能 不 想 问 一句 大舅 
7905,镇站 之宝 看来 投币 数最多 派 大星 独白 超 视频 真的 感触 很深 委屈 
7906,看 完 几个 字眼 心里 浮动 平凡 伟大 不幸 坚韧 Hiiro _ 泪目 
7907,死亡 不 可怕 可怕 遗忘 
 人 最大 悲哀 不是 死亡 找 不到 痕迹 
 up 二舅 人 生活 很 精彩 顺其自然 更 关键 很多 人 记住 足矣 
 心灵 受到 震撼 感谢 up 带给 视频 文案 
 希望 二舅 不受 资本 流量 影响 不受 网红人 肉 影响 坚守 本心 以前 已经 接受 人生道路 走 下去 抱拳 抱拳 抱拳 
7908,觉得 好 遗憾 … 
7909,寻迹   先赞后 看 
7910,视频 做 真 好 文案 好 真诚 
7911,二舅   尊敬 爱戴 
7912,文案 场景   真的 厉害 
7913,敬 二舅 
